iter	Passed	Remaining
912	2333	222
913	2336	219
914	2338	217
915	2340	214
916	2343	212
917	2345	209
918	2347	206
919	2350	204
920	2352	201
921	2354	199
922	2357	196
923	2359	194
924	2361	191
925	2364	188
926	2366	186
927	2369	183
928	2371	181
929	2373	178
930	2376	176
931	2378	173
932	2381	170
933	2383	168
934	2384	165
935	2387	163
936	2389	160
937	2391	158
938	2393	155
939	2396	152
940	2398	150
941	2400	147
942	2403	145
943	2406	142
944	2408	140
945	2410	137
946	2413	135
947	2415	132
948	2418	129
949	2420	127
950	2422	124
951	2425	122
952	2428	119
953	2430	117
954	2433	114
955	2435	112
956	2437	109
957	2440	106
958	2442	104
959	2444	101
960	2446	99
961	2449	96
962	2451	94
963	2453	91
964	2456	89
965	2458	86
966	2460	83
967	2462	81
968	2465	78
969	2467	76
970	2469	73
971	2471	71
972	2474	68
973	2476	66
974	2478	63
975	2481	61
976	2483	58
977	2486	55
978	2488	53
979	2490	50
980	2493	48
981	2495	45
982	2497	43
983	2500	40
984	2502	38
985	2504	35
986	2507	33
987	2509	30
988	2512	27
989	2514	25
990	2516	22
991	2519	20
992	2521	17
993	2524	15
994	2526	12
995	2528	10
996	2530	7
997	2533	5
998	2535	2
999	2538	0
